sum_hhe,dnl,dnc,dh,bc,dlcp,diic,diicintra,diicflux,diicconnector,df,dawf,dpc,dpcintra,dpcflux,dpcconnector,dbc_pc,dbc_iic,pop,hh_number,hh_100,pop_15,pop_65,elderly,pop_den,lowincome,res_person,commercial,residential,greenery,industrial,enthropy,avg_price,avg_buildyear,building_32,x,y,cooling_degree,newtown,gu,gu_name,decline_level,decline_group1,decline_group2,dong_name
1911.5,0.671,-0.671,0.996,0.01,0.775,0.685,0.098,0.476,0.111,0.671,0.671,0.856,0.05,0.572,0.234,1.011,0.223,25891,9265,35.8,3620,2480,68.5,7846,203,28.2,5.7,38.2,56.2,0,0.62,30789.4,29.6 ,29.6,126.66,37.4087,171.20,0,8,연수구,70,2,3,동춘1동
1841.3,2.105,-13.684,2.947,0.01,1.227,1.146,0.961,0.183,0.002,2.105,2.105,1.224,0.889,0.326,0.008,0.061,0.002,18668,6935,37.1,2314,2024,87.5,10853,148,26.1,3.8,54.8,41.4,0,0.59,25737.5,27.2 ,27.2,126.671,37.4009,171.20,0,8,연수구,60,2,2,동춘2동
2210.2,2.326,-3.488,2.711,0.016,2.073,1.92,0.459,1.407,0.054,2.326,2.326,2.273,0.271,1.784,0.218,1.115,0.212,18860,5837,30.9,2972,1980,66.6,26943,59,31.6,15.3,77.6,7,0,0.48,33230.2,27.6 ,27.6,126.678,37.4079,171.20,0,8,연수구,100,2,4,동춘3동
2036.4,0.113,-0.546,0.169,0.003,0.107,0.103,0.02,0.074,0.009,0.113,0.113,0.122,0.012,0.089,0.02,0.103,0.038,23194,8357,36,3726,2250,60.4,20526,405,28.9,0,82.9,17.1,0,0.33,27048.5,14.3 ,14.3,126.673,37.5964,123.71,0,1,서구,90,2,3,마전동
1530.5,1.266,-0.316,1.467,0.013,1.201,1.163,0.177,0.912,0.074,1.266,1.266,1.417,0.115,1.035,0.266,1.727,0.605,7151,3275,45.8,767,1438,187.5,6218,522,23.3,0,17.3,6.7,79.9,0.48,15086,30.3 ,30.3,126.621,37.4863,157.79,0,6,동구,50,1,2,만석동
1395.4,1.887,-4.717,2.226,0.024,1.676,1.39,0.565,0.756,0.069,1.887,1.887,1.606,0.416,1.055,0.135,0.641,0.143,17516,8957,51.1,1341,3540,264,23995,2876,22.7,0,86,14,0,0.29,13406,28.6 ,28.6,126.735,37.4506,150.25,0,2,남동구,10,1,1,만수1동
1709.4,1.481,-1.481,1.699,0.017,1.292,1.186,0.374,0.733,0.079,1.481,1.481,1.424,0.279,0.924,0.221,1.733,0.347,24770,9803,39.6,2941,3604,122.5,19504,1025,23.4,0,73.1,26.9,0,0.42,24988.3,28.0 ,28,126.736,37.4638,150.25,0,2,남동구,80,2,3,만수2동
1618.5,2.857,0,3.391,0.029,2.58,2.362,0.599,1.66,0.104,2.857,2.857,3.246,0.327,2.204,0.715,2.563,0.783,17961,7340,40.9,2105,2562,121.7,19737,1098,22.3,0,27.7,72.3,0,0.43,25190.2,27.1 ,27.1,126.729,37.4668,155.11,0,2,남동구,60,2,2,만수3동
1496.2,5.128,-25.641,6.955,0.023,2.785,2.678,2.451,0.225,0.001,5.128,5.128,2.773,2.361,0.406,0.006,0.043,0.001,21563,9145,42.4,2439,3327,136.4,22461,964,23.9,0,72.3,27.7,0,0.43,19441.5,32.9 ,32.9,126.738,37.4573,150.25,0,2,남동구,10,1,1,만수4동
1067.5,1.333,-0.667,1.444,0.02,1.225,1.092,0.278,0.776,0.037,1.333,1.333,1.352,0.204,0.925,0.223,2.262,0.648,15663,7553,48.2,1065,3152,296,29006,1448,23.5,0,100,0,0,0,19853.2,29.9 ,29.9,126.726,37.4562,150.25,0,2,남동구,20,1,1,만수5동
1724.9,1.389,-4.167,1.76,0.012,1.244,1.079,0.36,0.669,0.05,1.389,1.389,1.262,0.246,0.896,0.12,0.589,0.092,24923,10239,41.1,2615,3863,147.7,14406,1225,26.4,0,45.1,54.9,0,0.5,18446.1,25.0 ,25,126.74,37.4419,150.25,0,2,남동구,50,1,2,만수6동
3180.5,1.923,-1.923,2.303,0.025,1.787,1.691,0.333,1.257,0.1,1.923,1.923,2.057,0.194,1.534,0.328,1.692,0.672,13776,7250,52.6,1265,1836,145.1,7963,1033,25.7,0,36.4,63.6,0,0.47,14631.3,21.4 ,21.4,126.686,37.4365,155.11,0,5,미추홀구,70,2,3,문학동
2925.2,1.361,0.34,1.507,0.02,1.332,1.372,0.1,1.161,0.111,1.361,1.361,1.843,0.064,1.232,0.547,3.724,1.104,16627,7766,46.7,1386,3378,243.7,18271,1378,25.2,0.3,71.8,27.9,0,0.44,22115.9,31.0 ,31,126.736,37.4839,152.41,0,3,부평구,30,1,1,부개1동
1019,1.835,-3.67,2.441,0.037,1.717,1.36,0.531,0.773,0.057,1.835,1.835,1.6,0.415,1.005,0.18,1.47,0.456,17796,7263,40.8,1960,2711,138.3,23728,835,25.6,2.5,95.7,1.7,0,0.15,30778.5,30.9 ,30.9,126.738,37.4931,152.41,0,3,부평구,50,1,2,부개2동
